A bone-masked celestial swordsman above a ruined city split by a vertical tear in space, wearing a smooth white skull mask with crescent horns, ribbed bone armor beneath a shredded midnight mantle, raising a sword made of compressed moonlight, hands concealed behind the sword guard and energy haze, palette of ultraviolet, silver mist, shadow black, and comet green, bone-mask hollow elegance, overwhelming spiritual pressure, reality-warping cosmic power, fast dynamic manga motion with epic starfield lighting, one character only, no text, no logo
A masked galaxy monk inside a cathedral of broken galaxies and black spirit candles, wearing a fanged white mask glowing from within, ribbed bone armor beneath a shredded midnight mantle, forming a throne from shattered soul fragments, hands completely hidden inside the blazing aura, palette of moonlit pearl, deep purple, electric cyan, and star gold, bone-mask hollow elegance, overwhelming spiritual pressure, reality-warping cosmic power, cinematic final-battle composition with luminous ink detail, one character only, no text, no logo
A void-armored shrine guardian inside a cathedral of broken galaxies and black spirit candles, wearing a ribbed bone helm with comet scars, long funeral robes threaded with radiant constellations, casting a mandala of cosmic judgment, hands hidden by comet dust and white reiatsu, palette of rose-gold, midnight blue, ghost white, and burning violet, bone-mask hollow elegance, overwhelming spiritual pressure, reality-warping cosmic power, regal villain elegance with universe-breaking force, one character only, no text, no logo
A celestial hollow assassin inside a cathedral of broken galaxies and black spirit candles, wearing a horned mask with molten nebula fractures, layered moon-silk robes with armored shoulders of bone, commanding an ocean tide made of stars, hands masked by a roaring vortex of cosmic fire, palette of white fire, dark indigo, blood red, and nebula pink, bone-mask hollow elegance, overwhelming spiritual pressure, reality-warping cosmic power, polished fantasy illustration with sharp rim light, one character only, no text, no logo
A masked entropy judge inside a cathedral of broken galaxies and black spirit candles, wearing a smooth white skull mask with crescent horns, ribbed bone armor beneath a shredded midnight mantle, raising a sword made of compressed moonlight, hands concealed behind the sword guard and energy haze, palette of bone white, black flame, emerald plasma, and cosmic red, bone-mask hollow elegance, overwhelming spiritual pressure, reality-warping cosmic power, dark shonen battle energy with divine celestial scale, one character only, no text, no logo
A hollow dragon-blood knight inside a cathedral of broken galaxies and black spirit candles, wearing a narrow mask with star-shaped eye slits, long funeral robes threaded with radiant constellations, projecting a colossal astral avatar behind them, hands lost behind crescent slash arcs, palette of black, white, violet, and molten gold, bone-mask hollow elegance, overwhelming spiritual pressure, reality-warping cosmic power, solemn otherworldly power with explosive action framing, one character only, no text, no logo
A starfield warlock inside a cathedral of broken galaxies and black spirit candles, wearing a fanged white mask glowing from within, layered moon-silk robes with armored shoulders of bone, releasing phoenix-like white ashes across space, hands buried in a dense gravity lens, palette of golden starlight, black smoke, icy blue, and porcelain white, bone-mask hollow elegance, overwhelming spiritual pressure, reality-warping cosmic power, haunting spiritual horror blended with heroic cosmic spectacle, one character only, no text, no logo
A masked nebula duelist inside a cathedral of broken galaxies and black spirit candles, wearing a ribbed bone helm with comet scars, ribbed bone armor beneath a shredded midnight mantle, unleashing a crescent slash of black starfire, hands hidden beneath falling chains of light, palette of ashen gray, luminous amber, void black, and spectral blue, bone-mask hollow elegance, overwhelming spiritual pressure, reality-warping cosmic power, elegant supernatural anime intensity mixed with mythic cosmic comic grandeur, one character only, no text, no logo
A bone-plated cosmic sentinel inside a cathedral of broken galaxies and black spirit candles, wearing a horned mask with molten nebula fractures, long funeral robes threaded with radiant constellations, splitting a meteor with a luminous blade, hands swallowed by radiant spell circles, palette of silver, crimson, blue-white, and obsidian, bone-mask hollow elegance, overwhelming spiritual pressure, reality-warping cosmic power, high-contrast anime linework and radiant cosmic atmosphere, one character only, no text, no logo
A hollow astral samurai inside a cathedral of broken galaxies and black spirit candles, wearing a smooth white skull mask with crescent horns, layered moon-silk robes with armored shoulders of bone, riding a comet trail through enemy silhouettes, hands concealed by a shield of molten nebula glass, palette of ultraviolet, silver mist, shadow black, and comet green, bone-mask hollow elegance, overwhelming spiritual pressure, reality-warping cosmic power, fast dynamic manga motion with epic starfield lighting, one character only, no text, no logo
A masked black-hole prophet inside a cathedral of broken galaxies and black spirit candles, wearing a narrow mask with star-shaped eye slits, ribbed bone armor beneath a shredded midnight mantle, spinning inside a tornado of ink-black spirit flames, hands blocked by floating bone charms and star sparks, palette of cold sapphire, pale bone, hot magenta, and solar orange, bone-mask hollow elegance, overwhelming spiritual pressure, reality-warping cosmic power, dramatic vertical poster composition with ultra-detailed aura effects, one character only, no text, no logo
A white-cloaked void lancer inside a cathedral of broken galaxies and black spirit candles, wearing a fanged white mask glowing from within, long funeral robes threaded with radiant constellations, charging through the air in a blur of white flame, hands covered by expanding black-hole distortion, palette of moonlit pearl, deep purple, electric cyan, and star gold, bone-mask hollow elegance, overwhelming spiritual pressure, reality-warping cosmic power, cinematic final-battle composition with luminous ink detail, one character only, no text, no logo
A cosmic mask-fractured wanderer inside a cathedral of broken galaxies and black spirit candles, wearing a ribbed bone helm with comet scars, layered moon-silk robes with armored shoulders of bone, turning a swarm of meteors into orbiting shields, hands obscured by oversized sleeves and spirit smoke, palette of rose-gold, midnight blue, ghost white, and burning violet, bone-mask hollow elegance, overwhelming spiritual pressure, reality-warping cosmic power, regal villain elegance with universe-breaking force, one character only, no text, no logo
